,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
124,Glowno,PL,41,51.96,19.72,93,75,5.82
125,Tabatinga,BR,83.3,-4.25,-69.94,78,75,2.24
126,Baykit,RU,-14.89,61.67,96.37,64,76,3.69
127,Dubbo,AU,62.6,-32.25,148.62,82,90,10.29
128,Moyale,KE,72.73,3.52,39.06,35,0,9.28
129,Dhidhdhoo,MV,82.86,6.88,73.1,100,80,7.27
130,Antalaha,MG,77.37,-14.9,50.28,84,0,7.27
131,Yanam,IN,77.55,16.73,82.22,91,8,5.7
132,Krasnyy Bor,RU,39.2,59.68,30.67,86,20,8.95
133,Narsaq,GL,21.2,60.92,-46.05,48,90,4.7
134,Ahipara,NZ,59.64,-35.17,173.17,89,32,19.91
135,Gushikawa,JP,75.2,26.35,127.87,88,75,11.41
136,Kruisfontein,ZA,59.46,-34,24.73,87,0,11.52
137,Turukhansk,RU,-2.69,65.82,87.98,61,80,9.73
138,Manzhouli,CN,-6.02,49.6,117.43,53,36,7.61
139,Kristinestad,FI,36.15,62.27,21.38,89,0,9.62
140,Fortuna,US,46.58,40.6,-124.16,100,90,5.82
141,Chicama,PE,66.2,-7.84,-79.15,82,75,9.17
142,Severo-Kurilsk,RU,31.47,50.68,156.12,100,56,6.04
143,Jumla,NP,21.34,29.27,82.18,100,32,1.79
144,Thompson,CA,10.4,55.74,-97.86,72,90,13.87
145,Idritsa,RU,38.67,56.33,28.9,95,88,11.41
146,Odesskoye,RU,33.9,54.21,72.97,94,92,10.85
147,Mahibadhoo,MV,82.81,3.78,72.97,100,44,7.61
148,Westport,US,46.26,41.14,-73.36,31,1,12.75
149,Victoria,CA,44.01,48.43,-123.37,81,75,11.41
150,Coquimbo,CL,64.4,-29.95,-71.34,59,20,12.75
151,Kishorganj,BD,69.99,24.43,90.77,93,36,2.8
152,Pandan,PH,79.71,14.05,124.17,100,80,6.26
153,Ekimchan,RU,-19.57,53.07,132.97,76,36,2.01
154,Ola,RU,1.4,59.58,151.28,91,44,15.55
155,Dniprodzerzhynsk,UA,35.6,48.51,34.6,80,0,4.47
156,Namibe,AO,71.7,-15.2,12.15,100,0,5.7
157,Lompoc,US,62.62,34.64,-120.46,82,90,6.93
158,Ladario,BR,84.25,-19,-57.6,69,75,10.29
159,Shimoda,JP,59.91,34.67,138.95,100,92,14.32
160,Brownsville,US,83.8,25.9,-97.5,58,75,16.11
161,Padang,ID,81.91,-0.95,100.35,100,48,4.81
162,Abriaqui,CO,77,6.63,-76.06,57,75,8.05
163,Assisi,IT,50,43.07,12.62,76,0,12.75
164,Fare,PF,78.99,-16.7,-151.02,100,100,20.36
165,Teya,RU,-0.49,60.38,92.63,75,80,2.8
166,Evensk,RU,34.44,61.95,159.23,95,92,15.77
167,Chokurdakh,RU,-9.89,70.63,147.92,52,0,3.02
168,Souillac,MU,77,-20.52,57.52,83,75,9.17
169,Touros,BR,86.41,-5.2,-35.46,57,0,13.53
170,Provideniya,RU,30.75,64.38,-173.3,100,76,15.43
171,Balclutha,NZ,40.92,-46.23,169.75,81,0,5.37
172,Luau,AO,68.91,-10.71,22.22,91,92,3.24
173,Gao,ML,82.14,16.27,-0.04,20,0,8.5
174,Lakatoro,VU,77.46,-16.1,167.42,92,64,7.83
175,Batagay,RU,-17.72,67.63,134.63,75,56,4.03
176,Luderitz,NA,68,-26.65,15.16,60,0,11.41
177,Saskylakh,RU,6.09,71.92,114.08,82,80,8.84
178,Hashtrud,IR,24.45,37.48,47.05,68,0,2.8
179,Esperance,AU,64.59,-33.87,121.9,93,8,6.49
180,Sanary-sur-Mer,FR,53.55,43.12,5.8,71,0,2.24
181,Khash,IR,33.31,28.22,61.22,45,0,3.47
182,Sechura,PE,72.42,-5.56,-80.82,78,0,10.51
183,Kimbe,PG,77.64,-5.55,150.14,100,68,3.02
184,Watsa,CD,70.39,3.04,29.54,83,20,5.14
185,Collie,AU,58.06,-33.37,116.15,95,48,3.8
186,Ixtapa,MX,87.8,20.7,-105.2,55,20,2.35
187,Roald,NO,39.74,62.58,6.13,65,40,25.28
188,Gorno-Altaysk,RU,0.73,51.96,85.95,62,24,2.8
189,Hofn,IS,33.8,64.25,-15.21,50,20,28.86
190,Shaoguan,CN,66.66,24.8,113.58,100,88,3.69
191,Margate,GB,40.12,51.38,1.39,69,0,5.82
192,Ambovombe,MG,71.79,-25.17,46.08,95,88,14.09
193,Sitka,US,34.29,57.05,-135.33,69,90,23.04
194,Rawson,AR,55.18,-43.3,-65.1,74,8,33.22
195,Yambio,SS,73.63,4.57,28.4,87,12,2.46
196,Mareeba,AU,75.2,-17,145.43,73,20,8.05
197,Vardo,NO,27.61,70.37,31.11,74,40,12.75
198,Dakar,SN,82.4,14.69,-17.44,51,0,8.05
199,Aklavik,CA,-18.41,68.22,-135.01,75,75,5.82
200,Galesong,ID,77,-5.32,119.37,94,20,1.12
201,Tonantins,BR,89.79,-2.87,-67.8,64,24,5.7
202,Nata,PA,78.76,8.33,-80.52,100,48,4.7
203,Snasa,NO,35.6,64.25,12.38,91,75,13.87
204,Ambilobe,MG,77.86,-13.2,49.05,69,44,3.47
205,Lorengau,PG,82.36,-2.02,147.27,100,12,4.7
206,Mbandaka,CD,77.73,0.05,18.26,90,68,2.46
207,Adrar,DZ,68,27.87,-0.29,24,0,6.93
208,Bintulu,MY,77,3.17,113.03,100,75,4.7
209,Koslan,RU,21.16,63.46,48.9,82,64,5.26
210,Shenzhen,CN,75.2,22.55,114.07,78,0,2.24
211,Kenai,US,19.4,60.55,-151.26,100,90,6.93
212,Chapais,CA,12.2,49.78,-74.85,78,20,9.17
213,Pula,HR,50,44.87,13.85,66,0,12.75
214,Vao,NC,71.11,-22.67,167.48,100,0,15.66
215,Katsuura,JP,50,35.13,140.3,71,75,5.82
216,Khandyga,RU,-23.57,62.67,135.6,35,56,2.91
217,Phatthaya,TH,78.8,12.93,100.88,88,20,8.95
218,Faanui,PF,79.71,-16.48,-151.75,100,80,19.01
219,Irituia,BR,87.72,-1.77,-47.44,68,56,8.95
220,Hambantota,LK,79.93,6.12,81.12,100,44,5.59
221,Nabire,ID,70.44,-3.37,135.48,94,68,2.01
222,Ostrovnoy,RU,19.95,68.05,39.51,94,88,10.18
223,Warwick,US,45.05,41.7,-71.42,42,20,13.87
224,Gasa,BT,-7.06,27.9,89.73,41,0,1.9
225,Udachnyy,RU,-10.79,66.42,112.4,70,56,5.82
226,Derzhavinsk,KZ,34.84,51.1,66.32,98,92,12.64
227,Bilibino,RU,-6.92,68.05,166.44,57,24,3.02
228,Mao,ES,53.6,39.89,4.27,66,20,4.7
229,Orizona,BR,87,-17.03,-48.3,48,12,5.82
230,Tateyama,JP,50,34.98,139.87,71,75,5.82
231,Ilebo,CD,76.74,-4.32,20.58,88,76,0.56
232,Bousse,BF,86,12.66,-1.89,23,0,2.57
233,Inuvik,CA,-15.26,68.35,-133.72,75,20,2.68
234,Codajas,BR,96,-3.84,-62.06,46,20,5.82
235,Gerash,IR,60.8,27.67,54.14,48,0,2.01
236,Waddan,LY,49.11,29.16,16.14,45,0,5.26
237,Havoysund,NO,27.45,71,24.66,100,0,5.82
238,Roma,IT,53.29,41.89,12.48,76,0,5.82
239,Klyuchi,RU,30.03,52.27,79.17,84,80,11.52
240,Hasaki,JP,44.08,35.73,140.83,81,75,4.7
241,Isiro,CD,73.14,2.77,27.62,88,56,3.47
242,Ambon,ID,82.14,-3.7,128.18,100,64,5.26
243,Sisak,HR,41,45.47,16.38,86,90,4.7
244,Estevan,CA,17.6,49.13,-102.98,62,1,4.7
245,Niamey,NE,93.2,13.51,2.11,10,0,3.36
246,Southampton,GB,38.14,50.9,-1.4,100,0,2.91
247,Champerico,GT,91.4,14.3,-91.92,49,20,11.41
248,Rudnik,RU,22.51,69.75,61.65,90,88,6.04
249,Lisakovsk,KZ,26.16,52.54,62.49,93,24,9.51
250,Gamba,GA,75.21,-2.65,10,98,92,4.25
251,Katherine,AU,77,-14.47,132.27,88,88,3.36
252,Leningradskiy,RU,12.48,69.38,178.42,99,0,15.32
253,Nizhnekamsk,RU,32,55.64,51.82,93,75,13.42
254,Sinnamary,GF,83.67,5.38,-52.95,87,0,10.96
255,Nipawin,CA,14,53.37,-104,78,90,12.75
256,Belmonte,BR,82.99,-15.86,-38.88,74,75,13.87
257,Port-Gentil,GA,82.4,-0.72,8.78,83,20,6.93
258,Lenger,KZ,33.8,42.18,69.88,80,24,6.71
259,Ketchikan,US,34.39,55.34,-131.65,100,90,21.92
260,Gopalur,IN,76.96,16.62,77.8,58,48,8.61
261,Lasa,IT,32.99,46.62,10.7,64,0,6.93
262,Waitati,NZ,36.69,-45.75,170.57,91,0,2.8
263,Buraydah,SA,71.6,26.33,43.98,33,0,8.05
264,Isangel,VU,73.86,-19.55,169.27,100,0,16.11
265,Waingapu,ID,72.06,-9.66,120.26,99,48,2.68
266,Tura,IN,66.12,25.52,90.22,89,8,2.24
267,Taga,RO,44.62,46.95,24.05,93,40,2.57
268,Buala,SB,79.21,-8.14,159.59,100,48,1.9
269,Shingu,JP,58.92,33.73,135.98,100,100,12.75
270,Dwarka,IN,76.92,22.24,68.97,99,0,20.58
271,Sibolga,ID,68.68,1.74,98.78,100,76,1.23
272,Taoudenni,ML,69.76,22.68,-3.98,11,56,8.61
273,Arman,RU,1.4,59.7,150.17,91,48,2.68
274,Chifeng,CN,8.29,42.27,118.96,27,0,9.62
275,Tomatlan,MX,85.65,19.93,-105.25,67,0,3.36
276,Constitucion,CL,60.36,-35.33,-72.42,69,64,18.23
277,Alugan,PH,78.76,12.22,125.48,100,88,7.05
278,Bemidji,US,34.99,47.47,-94.88,80,1,8.05
279,Natchitoches,US,77.67,31.76,-93.09,61,40,12.75
280,Portobelo,PA,82.4,9.55,-79.65,83,40,5.82
281,Sovetskiy,RU,19.68,61.36,63.58,89,92,2.68
282,Celendin,PE,69.8,-6.87,-78.15,28,75,4.7
283,Kahului,US,70.36,20.89,-156.47,78,40,4.36
284,Saint-Leu,RE,74.34,-21.15,55.28,94,36,2.24
285,Orlovskiy,RU,31.2,46.87,42.06,89,0,9.17
286,Ruidoso,US,74.77,33.33,-105.67,13,1,26.4
287,Bam,IR,35.16,29.11,58.36,70,0,2.8
288,Zhanaozen,KZ,35.43,43.3,52.8,93,32,10.07
289,Hamilton,CA,33.8,43.23,-79.95,69,75,9.17
290,Svetlogorsk,BY,35.07,52.63,29.73,94,92,7.61
291,Rocha,UY,73.5,-34.48,-54.33,60,12,8.95
292,Cherskiy,RU,-6.07,68.75,161.3,43,0,3.69
293,Cascavel,BR,78.8,-24.96,-53.46,65,75,27.51
294,Kendari,ID,75.84,-3.94,122.5,91,68,2.46
295,Honningsvag,NO,32,70.98,25.97,100,0,5.82
296,Beringovskiy,RU,31.02,63.05,179.32,95,92,10.85
297,Mandera,KE,75.16,3.94,41.87,31,0,7.94
298,Qasigiannguit,GL,8.6,68.82,-51.19,55,75,16.11
299,Tamiahua,MX,77.86,21.27,-97.45,100,0,1.68
300,Fayaoue,NC,73.32,-20.65,166.53,100,0,16.78
301,Cleethorpes,GB,41.22,53.56,-0.03,81,40,11.41
302,Anjangaon,IN,73.77,21.16,77.31,63,76,2.46
303,Vondrozo,MG,72.96,-22.82,47.28,87,92,6.71
304,Malazgirt,TR,27.42,39.14,42.54,84,36,2.46
305,Copiapo,CL,68,-27.37,-70.33,52,75,8.05
306,Atar,MR,86,20.52,-13.05,19,56,9.17
307,Lata,PT,53.6,40.16,-8.33,93,40,2.24
308,Kandrian,PG,75.03,-6.22,149.55,100,36,2.8
309,Leh,IN,-0.58,34.17,77.58,66,68,1.79
310,Lagoa,PT,66.84,39.05,-27.98,100,100,15.55
311,Takoradi,GH,80.83,4.88,-1.76,100,20,10.07
312,Vangaindrano,MG,72.78,-23.35,47.6,89,88,4.59
313,Bowen,AU,68,-20.02,148.23,94,40,5.82
314,Pyt-Yakh,RU,20.4,60.75,72.86,91,64,4.59
315,Merauke,ID,76.06,-8.47,140.33,100,56,4.36
316,Tiznit,MA,59.73,29.58,-9.5,56,0,2.01
317,Natal,BR,82.4,-5.79,-35.21,61,40,16.11
318,Egvekinot,RU,-5.53,66.32,-179.17,54,12,1.79
319,Sur,OM,75.66,22.57,59.53,100,0,7.05
320,Maragogi,BR,79.62,-9.01,-35.22,78,68,9.4
321,Aykhal,RU,-12.77,66,111.5,76,56,6.04
322,Vitim,RU,-11.56,59.45,112.56,73,44,3.24
323,Mana,GF,87.63,5.66,-53.78,64,36,4.03
324,Sekoma,BW,60.81,-24.4,23.88,33,0,5.26
325,Smithers,CA,14,54.78,-127.17,92,90,4.7
326,College,US,12.2,64.86,-147.8,92,90,2.8
327,Aasiaat,GL,20.26,68.71,-52.87,100,8,8.61
328,Coihaique,CL,53.02,-45.58,-72.07,35,20,26.4
329,Yuncheng,CN,31.24,35.02,110.99,97,24,1.68
330,Lulea,SE,26.6,65.58,22.15,100,90,11.41
331,Mackenzie,CA,12.2,55.3,-123.17,85,90,8.05
332,Asau,RO,44.6,46.43,26.4,93,75,8.05
333,Notse,TG,79.8,6.95,1.17,86,44,5.26
334,Pointe-Noire,CG,78.8,-4.78,11.86,88,20,8.05
335,Iquique,CL,68,-20.22,-70.14,60,75,10.29
336,Emba,CY,63.91,34.81,32.42,82,0,5.82
337,Lokomotivnyy,RU,24.45,53.01,60.57,81,0,10.74
338,Havelock,US,54.79,34.88,-76.9,47,1,10.29
339,Abha,SA,59.94,18.22,42.51,87,0,1.23
340,Srednekolymsk,RU,-15.34,67.45,153.68,68,36,2.8
341,Nefteyugansk,RU,17.6,61.1,72.6,100,75,2.24
342,Ueno,JP,50,34.75,136.13,81,75,12.75
343,Balabac,PH,76.78,7.99,117.06,100,88,12.53
344,Broome,AU,82.4,-17.97,122.23,69,8,6.93
345,Agadir,MA,66.2,30.42,-9.6,63,0,6.93
346,Pontarlier,FR,39.22,46.9,6.36,93,90,11.41
347,Emporia,US,69.8,38.4,-96.18,64,20,25.28
348,Luangwa,ZM,77.23,-15.62,30.42,69,92,12.41
349,Chimore,BO,83.49,-16.98,-65.13,67,44,3.91
350,Along,IN,59.01,28.17,94.77,84,36,2.01
351,Mutis,CO,78.76,6.23,-77.4,100,56,7.49
352,Tuatapere,NZ,43.21,-46.13,167.68,100,0,1.68
353,Bogo,PH,82.09,11.05,124.01,100,56,12.75
354,Montealegre,ES,41,42.59,-6.27,65,0,2.24
355,Camacha,PT,67.23,33.08,-16.33,77,40,6.93
356,Hirado,JP,56.49,33.36,129.55,100,100,10.74
357,Kutum,SD,77.1,14.2,24.67,40,100,3.02
358,Littleton,US,63,39.61,-105.02,33,75,11.41
359,Opuwo,NA,75.84,-18.06,13.84,31,24,4.03
360,Vanimo,PG,83.89,-2.67,141.3,100,48,11.86
361,Hualmay,PE,71.7,-11.1,-77.61,61,0,4.81
362,Jacareacanga,BR,91.4,-6.22,-57.75,70,75,4.7
363,Pevek,RU,2.13,69.7,170.31,98,0,5.7
364,Atambua,ID,78,-9.11,124.89,100,68,4.81
365,Carroll,US,51.1,42.07,-94.87,87,90,17.22
366,Dombarovskiy,RU,29.49,50.76,59.54,93,76,10.29
367,Bata,GQ,82.4,1.86,9.77,88,40,6.93
368,Kamenka,RU,26.29,51.32,42.77,78,12,6.26
369,Butiama,TZ,77,-1.77,33.97,78,20,5.82
370,Kashechewan,CA,20.49,52.3,-81.62,79,88,13.31
371,Zhob,PK,26.38,31.34,69.45,69,0,2.57
372,Stepnyak,KZ,32.86,52.83,70.78,95,88,12.3
373,Barcelos,PT,51.8,41.54,-8.62,87,0,2.24
374,Tigil,RU,31.11,57.8,158.67,92,88,14.88
375,Tsiombe,MG,69.54,-25.3,45.48,86,48,5.26
376,Tabas,IR,37.23,33.6,56.92,55,0,3.8
377,Srandakan,ID,72.24,-7.94,110.25,100,88,3.02
378,Bonavista,CA,39.39,48.65,-53.11,97,80,13.53
379,Dourbali,TD,84.79,11.81,15.86,22,0,10.18
380,Bathsheba,BB,87.8,13.22,-59.52,74,20,11.41
381,Yulara,AU,69.8,-25.24,130.99,64,0,5.82
382,Hope,US,71.6,33.67,-93.59,78,90,14.99
383,Mildura,AU,59.28,-34.2,142.15,100,76,0.89
384,Warri,NG,77.19,5.52,5.75,95,32,5.03
385,Igdir,TR,42.8,39.92,44.05,75,20,4.7
386,Hjelset,NO,37.26,62.78,7.48,100,75,25.28
387,Lahaina,US,71.19,20.88,-156.68,83,75,11.41
388,Pangody,RU,16.62,65.85,74.49,82,92,7.49
389,Arinos,BR,90.6,-15.92,-46.11,40,0,8.28
390,Brzeg,PL,35.6,50.86,17.47,100,20,6.93
391,Fuxin,CN,13.65,42.02,121.66,29,0,12.53
392,Noumea,NC,64.4,-22.28,166.46,72,40,9.4
393,Motygino,RU,13.11,58.18,94.76,94,92,4.59
394,Hokitika,NZ,54.24,-42.72,170.97,100,8,3.91
395,Voh,NC,72.06,-20.97,164.7,100,0,16.33
396,Kampot,KH,77.14,10.62,104.18,93,88,4.03
397,Kewanee,US,38.68,41.25,-89.92,86,90,14.99
398,Ust-Kishert,RU,27.51,57.37,57.25,92,88,9.06
399,Ludwigsburg,DE,39.2,48.9,9.19,93,75,1.12
400,Sevlievo,BG,44.6,43.03,25.11,100,92,4.7
401,Cayenne,GF,87.8,4.93,-52.33,58,0,12.75
402,Nanzhou,CN,48.66,29.36,112.4,100,92,23.71
403,Dunedin,NZ,36.69,-45.87,170.5,91,0,2.8
404,Abay,KZ,28.4,49.63,72.85,86,0,20.13
405,Cidreira,BR,73.36,-30.18,-50.21,86,36,10.51
406,Yumen,CN,17.38,40.28,97.2,87,64,5.59
407,Meulaboh,ID,78.9,4.14,96.13,100,80,2.57
408,Ahuimanu,US,72.93,21.44,-157.84,65,20,10.29
409,Poronaysk,RU,19.14,49.22,143.12,100,8,6.6
410,Havre-Saint-Pierre,CA,32,50.23,-63.6,85,90,18.34
411,Chaihe,CN,1.77,44.77,129.7,66,32,4.03
412,Soderhamn,SE,37.77,61.3,17.06,75,0,10.29
413,Kargopol,RU,32.73,61.51,38.95,91,88,15.1
414,Scarborough,GB,41,54.28,-0.4,86,20,9.17
415,Struga,MK,48.2,41.18,20.68,76,75,4.7
416,Korbach,DE,37.4,51.28,8.87,93,40,1.12
417,Miraflores,CO,81.46,1.34,-71.95,85,32,3.02
418,Coxim,BR,81.91,-18.51,-54.76,92,48,7.49
419,Nouadhibou,MR,78.8,20.93,-17.03,31,0,4.7
420,Deputatskiy,RU,-7.46,69.3,139.9,72,32,2.8
421,Terekli-Mekteb,RU,32.91,44.17,45.87,86,8,7.05
422,Ulaangom,MN,-13.22,49.98,92.07,50,0,2.13
423,Osek,CZ,35.6,50.62,13.69,93,0,4.7
424,Karratha,AU,69.31,-20.74,116.85,87,0,8.39
425,Ayan,RU,-12.55,56.45,138.17,100,0,9.73
426,Bud,US,42.8,39.45,-86.18,77,90,13.87
427,Tiarei,PF,82.4,-17.53,-149.33,74,40,2.24
428,Watrous,CA,8.83,51.67,-105.47,94,24,5.82
429,Eyl,SO,80.11,7.98,49.82,85,0,19.01
430,Zeya,RU,-13.99,53.75,127.27,80,8,4.59
431,Westerland,DE,44.6,54.91,8.3,81,76,11.41
432,Cabras,IT,55.36,39.93,8.53,90,0,4.36
433,Batagay-Alyta,RU,-5.39,67.8,130.41,64,56,3.36
434,Islahiye,TR,55.4,37.02,36.63,54,0,4.7
435,Kieta,PG,77.73,-6.22,155.63,100,8,3.13
436,Galbshtadt,RU,31.74,53.23,78.98,92,88,12.3
437,Paamiut,GL,28.09,61.99,-49.67,100,88,12.53
438,Imeni Tsyurupy,RU,33.8,55.5,38.65,80,40,11.18
439,Karasjok,NO,12.2,69.47,25.51,85,40,3.36
440,Kuytun,RU,3.79,54.34,101.5,78,80,2.46
